date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:44:45	297/297	---MCZ	200	added ('OK')	text/plain	etag:W/%221ed-vv+c33gMp0U6BR9PipTlj21E33A%22	https://www.sohoapparel.com/robots.txt		(from )
20:44:46	485430/485430	---MCZ	200	added ('OK')	text/html	etag:W/%2283e34e0905597d035f00ede577ed4efa%22	https://www.sohoapparel.com/	C:/My%20Web%20Sites/Clone-Website/www.sohoapparel.com/index.html	(from )
20:44:46	19086/19086	---M--	200	added ('OK')	image/png	date:Wed,%2011%20Mar%202026%2008:18:38%20GMT	https://static.wixstatic.com/media/8c1622_7bcf5cf8818d40398f5f13bab354ec9b~mv2.png/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/8c1622_7bcf5cf8818d40398f5f13bab354ec9b~mv2.png	C:/My%20Web%20Sites/Clone-Website/static.wixstatic.com/media/8c1622_7bcf5cf8818d40398f5f13bab354ec9b_mv2.png/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/8c1622_7bcf5cf8818d40398f5f13bab354ec9b_mv2.png	(from https://www.sohoapparel.com/)
20:44:47	2163/2163	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202026%2013:44:47%20GMT	https://static.wixstatic.com/media/8c1622_7bcf5cf8818d40398f5f13bab354ec9b~mv2.png/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/8c1622_7bcf5cf8818d40398f5f13bab354ec9b~mv2.png	C:/My%20Web%20Sites/Clone-Website/static.wixstatic.com/media/8c1622_7bcf5cf8818d40398f5f13bab354ec9b_mv2.png/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/8c1622_7bcf5cf8818d40398f5f13bab354ec9b_mv2.png	(from https://www.sohoapparel.com/)
20:44:47	22031/22031	---M--	200	added ('OK')	image/png	date:Mon,%2016%20Mar%202026%2013:44:47%20GMT	https://static.wixstatic.com/media/8c1622_7bcf5cf8818d40398f5f13bab354ec9b~mv2.png/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/8c1622_7bcf5cf8818d40398f5f13bab354ec9b~mv2.png	C:/My%20Web%20Sites/Clone-Website/static.wixstatic.com/media/8c1622_7bcf5cf8818d40398f5f13bab354ec9b_mv2.png/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/8c1622_7bcf5cf8818d40398f5f13bab354ec9b_mv2.png	(from https://www.sohoapparel.com/)
20:44:47	432253/432253	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ad8d4abe1af9f974a1468f1782295b0c%22	https://static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	C:/My%20Web%20Sites/Clone-Website/static.parastorage.com/unpkg/@formatjs/intl-segmenter@11.7.10/polyfill.iife.js	(from https://www.sohoapparel.com/)
20:44:47	137771/137771	---M-Z	200	added ('OK')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/Clone-Website/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.sohoapparel.com/)
20:44:48	1171/1171	---M-Z	200	added ('OK')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/Clone-Website/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.sohoapparel.com/)
20:44:48	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Mar%202026%2013:44:49%20GMT	https://www.sohoapparel.com/t	C:/My%20Web%20Sites/Clone-Website/www.sohoapparel.com/t.6.delayed	(from https://www.sohoapparel.com/)
20:44:49	2211/2211	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Mar%202026%2013:44:49%20GMT	https://www.sohoapparel.com/o	C:/My%20Web%20Sites/Clone-Website/www.sohoapparel.com/o.7.delayed	(from https://www.sohoapparel.com/)
